param N := 10;
param M := 15;
param LabelNum := 5;

param EDGES :   0   1   2   3   4   5   6   7   8   9  :=
0                        1   1   1   0   0   1   1   1   0   0
1                        1   1   1   0   0   1   1   1   0   0
2                        1   1   1   0   0   1   1   1   0   0             
3                        1   1   0   1   0   1   1   1   0   0
4                        1   0   1   0   1   1   1   1   0   0
5                        1   1   1   0   0   1   1   1   0   0
6                        1   1   1   0   0   1   1   1   0   0
7                        1   1   1   0   0   1   1   1   0   0
8                        1   1   1   0   0   1   0   1   1   0
9                        1   1   1   0   0   1   0   1   0   1 ;

param COST :      0   1   2   3   4   5   6   7   8   9  :=
0                         1   2   3   4   3   3   2   2   1   1
1                         1   2   3   4   3   3   2   2   1   1
2                         1   2   3   4   3   3   2   2   1   1
3                         1   2   3   4   3   3   2   2   1   1
4                         1   2   3   4   3   3   2   2   1   1 ; 

param DISTANCE :   0   1   2   3   4  :=
0                              1   3   2   4   3
1                              3   3   2   4   1
2                              2   2   2   4   3
3                              4   4   4   1   3
4                              3   1   3   3  1 ;

